tag,question,optionA,optionB,answer
fever,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に熱がありましたか？
「娘が熱を出してリンパも腫れてるとかで、朝から嫁が病院に連れてってるらしい。今日は仕事さっさと終わらせよう。」",熱がある,熱がない,A
fever,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に熱がありましたか？
「熱は下がったけど咳が止まらない。」",熱がある,熱がない,A
fever,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に熱がありましたか？
「鼻づまりひどくて薬飲んだら喉が乾きすぎる。」",熱がある,熱がない,B
fever,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に熱がありましたか？
「朝目が覚めた途端に頭痛がくるとか、最悪ですわ」",熱がある,熱がない,B
fever,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に熱がありましたか？
「犬と戯れると毎回鼻づまりになるのをなんとかしたい。」",熱がある,熱がない,B
fever,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に熱がありましたか？
「おたふく風邪だってさ。ひょっとこもあるの？」",熱がある,熱がない,B
fever,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に熱がありましたか？
「ツイッターだけでなくブログでも鼻水・鼻づまり情報発信中。」",熱がある,熱がない,B
fever,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に熱がありましたか？
「風邪で休めるけどそれはそれでつらいもんよね。」",熱がある,熱がない,B
runnynose,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に鼻水・鼻づまりがありましたか？
「風邪のせいで一週間以上鼻水が止まらないし、今日こそは薬飲んで早く休もうと思うんだけど、課題が寝かせてくれない。」",鼻水・鼻づまりがある,鼻水・鼻づまりがない,A
runnynose,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に鼻水・鼻づまりがありましたか？
「花粉症数年ぶりに再発だー。」",鼻水・鼻づまりがある,鼻水・鼻づまりがない,A
runnynose,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に鼻水・鼻づまりがありましたか？
「鼻づまり解消情報、ブログにないかな」",鼻水・鼻づまりがある,鼻水・鼻づまりがない,A
runnynose,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に鼻水・鼻づまりがありましたか？
「花粉症に効果のあるお茶とかないかな。」",鼻水・鼻づまりがある,鼻水・鼻づまりがない,A
runnynose,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に鼻水・鼻づまりがありましたか？
「鼻づまりで頭痛までしてきた感じだ」",鼻水・鼻づまりがある,鼻水・鼻づまりがない,A
runnynose,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に鼻水・鼻づまりがありましたか？
「昨日いっぱい薬飲んだのに、今日も鼻水とまんねえええええ」",鼻水・鼻づまりがある,鼻水・鼻づまりがない,A
runnynose,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に鼻水・鼻づまりがありましたか？
「咳がやっと止まってきたよー。よかった」",鼻水・鼻づまりがある,鼻水・鼻づまりがない,B
runnynose,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に鼻水・鼻づまりがありましたか？
「頭痛は、根源から抹殺が必要だ」",鼻水・鼻づまりがある,鼻水・鼻づまりがない,B
runnynose,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に鼻水・鼻づまりがありましたか？
「インフルエンザのワクチンが足りてないらしいぞ。」",鼻水・鼻づまりがある,鼻水・鼻づまりがない,B
runnynose,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に鼻水・鼻づまりがありましたか？
「携帯電話のバッテリーがすごい熱持ってるんだけどやばくない？」",鼻水・鼻づまりがある,鼻水・鼻づまりがない,B
runnynose,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に鼻水・鼻づまりがありましたか？
「昨日から咳が止まらない。」",鼻水・鼻づまりがある,鼻水・鼻づまりがない,B
runnynose,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に鼻水・鼻づまりがありましたか？
「スペイン風邪って大変みたい、誰かのブログで読んだ。」",鼻水・鼻づまりがある,鼻水・鼻づまりがない,B
cold,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に風邪をひいていますか？
「科学の力で今の俺のわたしの風邪を誰かに移せる技術が開発されないかなあ。」",風邪をひいている,風邪をひいていない,A
cold,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に風邪をひいていますか？
「季節外れの熱風邪中。」",風邪をひいている,風邪をひいていない,A
cold,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に風邪をひいていますか？
「最悪、風邪ひいたっぽい。」",風邪をひいている,風邪をひいていない,A
cold,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に風邪をひいていますか？
「風邪治らなくてめっちゃだるい」",風邪をひいている,風邪をひいていない,A
cold,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に風邪をひいていますか？
「風邪の時は免疫力を頼って、出来るだけ解熱剤を使わないようにするんだよね。」",風邪をひいている,風邪をひいていない,A
cold,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に風邪をひいていますか？
「寒気するわ、風邪じゃないかな」",風邪をひいている,風邪をひいていない,A
cold,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に風邪をひいていますか？
「下痢気味でお腹が痛い。」",風邪をひいている,風邪をひいていない,B
cold,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に風邪をひいていますか？
「スペイン風邪という病気があるらしいぜ」",風邪をひいている,風邪をひいていない,B
cold,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に風邪をひいていますか？
「まだ熱がある。困った。」",風邪をひいている,風邪をひいていない,B
cold,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に風邪をひいていますか？
「痰は人前ではかないのがエチケット！」",風邪をひいている,風邪をひいていない,B
cold,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に風邪をひいていますか？
「まさかインフルにかかると思わなかったぜ。ワクチン打ったのになー」",風邪をひいている,風邪をひいていない,B
cold,"SNSで以下の投稿をした本人または周囲の人間は、1日以内に風邪をひいていますか？
「熱が出るのは生きてる証拠って誰か言ってた。」",風邪をひいている,風邪をひいていない,B
